id,Title,Company,Location,Type,Level,YearsExp,Country,Skills
3378,Testing Lead,ITIDA,6th of October,Full Time,Manager,7+ Yrs of Exp,Giza,Information Technology (IT)- Software Development- Project Management- Quality Assurance- Computer Science- Software Testing- Quality
3379,Mobile Developer,ITIDA,6th of October,Full Time,Experienced,5+ Yrs of Exp,Giza,Information Technology (IT)- Mobile Development- Software Development- Computer Science- Information Systems- IT/Software Development
3380,DevOps Engineer,ITIDA,6th of October,Full Time,Experienced,5+ Yrs of Exp,Giza,Computer Science- Software Development- Information Systems- DevOps- English- IT/Software Development
3381,Office Manager,Confidential,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,Office Management- Administration- Secretary- Real Estate- Office Manager- Microsoft Office- Communication Skills- CEO- English
3382,R&D Hardware Engineer,LG Electronics,10th of Ramadan City,Full Time,Experienced,2-4 Yrs of Exp,Sharqia,Manufacturing- Mechatronics- Electrical- Hardware- Electronics- R&D- R&D/Science- Installation/Maintenance/Repair
3383,R&D Mechanical Engineer,LG Electronics,10th of Ramadan City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,Mechanical Engineering- Mechatronics- R&D- 2D- 3D- Mechanical Power- Hardware- Troubleshooting- R&D/Science
3384,Interior Design/Architecture Team Leader,Confidential,New Cairo,Full Time,Manager,7+ Yrs of Exp,Cairo,Architecture- Engineering- Shop Drawings- Revit- Commercial Construction- Contractor- 3ds Max- Photoshop- AutoCAD- Fine Arts
3385,Exchange Administrator,Confidential,New Cairo,Full Time,Experienced,4-6 Yrs of Exp,Cairo,Information Technology (IT)- System Administration- PowerShell- Network- Exchange Administration- Backup- Lotus Notes- MSCE
3386,Senior Software Engineer Full Stack,Meddy,Dubai,Full Time,Work From Home,5-10 Yrs of Exp,United Arab Emirates,Computer Science- Software Development- Software Engineering- DevOps- Information Technology (IT)- Software Design
3387,Site Engineer,Lotus Finishing Materials,Nozha,Full Time,Experienced,3-4 Yrs of Exp,Cairo,Construction- Architecture- Drawings- Revit- AutoCAD- Engineering - Construction/Civil/Architecture
3388,Senior PHP Developer,Togar,New Nozha,Full Time,Experienced,3-7 Yrs of Exp,Cairo,PHP- Information Technology (IT)- Software Development- CSS- Computer Science- javaScript- MySQL- HTML- OOP- AJAX- WordPress
3389,Systems Engineer,Sumerge,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,Computer Science- FileNet- DevOps- HTTP- Installation- Software Engineering- Application Server- LDAP- Linux
3390,Sales Manager,Confidential,Abbassia,Full Time,Manager,7-15 Yrs of Exp,Cairo,Customer Service- Sales Target- Business- Negotiation Skills- textile- fabric- Leadership- B2B- Communication- Business Development
3391,UI/ UX Developer,Add Pluses,6th of October,Full Time,Freelance / Project,1-2 Yrs of Exp,Giza,Males Only- HTML5- CSS3- Web Development- Web Design- Software Development- javaScript- UI- UX- Adobe Photoshop- jQuery
3392,CRM Consultant,Xceed,Maadi,Full Time,Work From Home,2+ Yrs of Exp,Cairo,Information Technology (IT)- Computer Science- IT- Configuring- Computer Software- English- Customer Support- CRM- C#- SQL
3393,Web Graphic Designer,Dimofinf Operations Center,Nasr City,Full Time,Experienced,4-5 Yrs of Exp,Cairo,Adobe Photoshop- Adobe Illustrator- Creative- Graphics- Web Design- Social Media- Fine Arts- English- Adobe XD- Zeplin
3394,Senior Property Consultant - Sales Real Estate,Casa Blanca for real estate investment,New Cairo,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,Sales Skills- Real Estate- Sales Target- Senior Sales- Insurance- Advertising- Communication Skills- Media- Negotiation Skills
3395,Account Manager (indoor sales),Transmar International,New Cairo,Full Time,Work From Home,4-8 Yrs of Exp,Cairo,Customer Service- Sales Target- Customer Service/Support- Sales/Retail
3396,IT Help Desk Specialist,Confidential,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,Information Technology (IT)- Computer Science- Help Desk- Installation- Customer Service- English- Computer Engineering- Computer Hardware
3397,Digital Marketing Specialist,Orchidia Pharmaceutical Industries,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,Digital Marketing- E-marketing- Online Marketing- Marketing/PR/Advertising- Media/Journalism/Publishing
3398,ERP Application Consultant,Rednet It Services,Cairo,Full Time,Experienced,3-7 Yrs of Exp,Egypt,ERP- Accounting- Microsoft SQL Server- C#.Net- Software Development- Software Engineering- Computer Science- IT
3399,Data Cabling Site Engineer,QuadraTech for Information Technology,Katameya,Full Time,Experienced,3-7 Yrs of Exp,Cairo,Site Engineer- Infrastructure- EPON- GPON- Computer Science- Telecommunication- Engineering- AutoCAD- Microsoft Visio- SCS- Lan Tester
